Tab,Row,Col,Original,Patched,ChangeType
FAQ_SE,2,answer_se,"Följande färger finns i Lava:
- Etna (Övrigt) – format: 430x120
- Marsili (Övrigt) – format: 430x120
- Salina (Övrigt) – format: 430x120
- Vesuvio (Övrigt) – format: 430x120","Följande färger finns i Lava:
- Etna (Övrigt) – format: INVALID_FORMAT
- Marsili (Övrigt) – format: INVALID_FORMAT
- Salina (Övrigt) – format: INVALID_FORMAT
- Vesuvio (Övrigt) – format: INVALID_FORMAT",INVALID
FAQ_SE,4,Källa FAQ / AI,"Följande färger finns i Alpine:
- Bocote (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Cobolo (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Mix Dark Chevry (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Mogano (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Sarawa (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Sarawa Chevry (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Slavonia (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Slavonia Chevry (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm","Följande färger finns i Alpine:
- Bocote (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Cobolo (Övrigt) – format: INVALID_FORMATcm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Mix Dark Chevry (Övrigt) – format: INVALID_FORMATcm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Mogano (Övrigt) – format: INVALID_FORMATcm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Sarawa (Övrigt) – format: INVALID_FORMATcm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Sarawa Chevry (Övrigt) – format: INVALID_FORMATcm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Slavonia (Övrigt) – format: INVALID_FORMATcm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Slavonia Chevry (Övrigt) – format: INVALID_FORMATcm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm",INVALID
FAQ_SE,8,answer_se,"Följande färger finns i Argresia:
- Svart (Övrigt) – format: 430x120","Följande färger finns i Argresia:
- Svart (Övrigt) – format: INVALID_FORMAT",INVALID
FAQ_SE,9,Källa FAQ / AI,"Följande färger finns i Beton:
- Cemento (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Cenere (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Sandalo (Beige) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm","Följande färger finns i Beton:
- Cemento (Övrigt) – format: INVALID_FORMATcm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Cenere (Övrigt) – format: INVALID_FORMATcm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Sandalo (Beige) – format: INVALID_FORMATcm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm",INVALID
FAQ_SE,14,answer_se,"Följande färger finns i Kvarts:
- Grå (Övrigt) – format: 100x100, 40x120, 40x180, 440x120, 45x90, 560x60, 60x120, 60x60, 80x80, 860x60, 90x90","Följande färger finns i Kvarts:
- Grå (Övrigt) – format: INVALID_FORMAT, 40x120, 40x180, 440x120, 45x90, 560x60, 60x120, 60x60, 80x80, 860x60, 90x90",INVALID
FAQ_SE,15,answer_se,"Följande färger finns i Manhattan:
- Midtown (Övrigt) – format: 430x120
- Nolita (Övrigt) – format: 430x120
- Soho (Övrigt) – format: 430x120
- Tribeca (Övrigt) – format: 430x120","Följande färger finns i Manhattan:
- Midtown (Övrigt) – format: INVALID_FORMAT
- Nolita (Övrigt) – format: INVALID_FORMAT
- Soho (Övrigt) – format: INVALID_FORMAT
- Tribeca (Övrigt) – format: INVALID_FORMAT",INVALID
FAQ_SE,16,answer_se,"Följande färger finns i Materia:
- Upcendre (Övrigt) – format: 430x120
- Upcharbon (Övrigt) – format: 430x120
- Upcrete (Övrigt) – format: 430x120
- Upivoire (Övrigt) – format: 430x120","Följande färger finns i Materia:
- Upcendre (Övrigt) – format: INVALID_FORMAT
- Upcharbon (Övrigt) – format: INVALID_FORMAT
- Upcrete (Övrigt) – format: INVALID_FORMAT
- Upivoire (Övrigt) – format: INVALID_FORMAT",INVALID
FAQ_SE,17,answer_se,"Följande färger finns i Meteo:
- Dark (Övrigt) – format: 430x120
- Fog (Övrigt) – format: 430x120
- Salt (Grå) – format: 430x120
- Sand (Beige) – format: 430x120","Följande färger finns i Meteo:
- Dark (Övrigt) – format: INVALID_FORMAT
- Fog (Övrigt) – format: INVALID_FORMAT
- Salt (Grå) – format: INVALID_FORMAT
- Sand (Beige) – format: INVALID_FORMAT",INVALID
FAQ_SE,18,answer_se,"Följande färger finns i Mista:
- Agate (Övrigt) – format: 430x120
- Pearl (Övrigt) – format: 430x120
- Shell (Övrigt) – format: 430x120
- Tahiti (Övrigt) – format: 430x120","Följande färger finns i Mista:
- Agate (Övrigt) – format: INVALID_FORMAT
- Pearl (Övrigt) – format: INVALID_FORMAT
- Shell (Övrigt) – format: INVALID_FORMAT
- Tahiti (Övrigt) – format: INVALID_FORMAT",INVALID
FAQ_SE,19,Källa FAQ / AI,"Följande färger finns i Nature:
- Nut (Övrigt) – format: 100x100cm40x120cm40x180cm430x120cm440x120cm45x90cm560x60cm60x120cm60x60cm80x80cm860x60cm90x90cm- Nut Doga (Övrigt) – format: 100x100cm40x120cm40x180cm430x120cm440x120cm45x90cm560x60cm60x120cm60x60cm80x80cm860x60cm90x90cm- Oak (Brun) – format: 100x100cm40x120cm40x180cm430x120cm440x120cm45x90cm560x60cm60x120cm60x60cm80x80cm860x60cm90x90cm- Oak Doga (Brun) – format: 100x100cm40x120cm40x180cm430x120cm440x120cm45x90cm560x60cm60x120cm60x60cm80x80cm860x60cm90x90cm","Följande färger finns i Nature:
- Nut (Övrigt) – format: INVALID_FORMATcm40x120cm40x180cm430x120cm440x120cm45x90cm560x60cm60x120cm60x60cm80x80cm860x60cm90x90cm- Nut Doga (Övrigt) – format: INVALID_FORMATcm40x120cm40x180cm430x120cm440x120cm45x90cm560x60cm60x120cm60x60cm80x80cm860x60cm90x90cm- Oak (Brun) – format: INVALID_FORMATcm40x120cm40x180cm430x120cm440x120cm45x90cm560x60cm60x120cm60x60cm80x80cm860x60cm90x90cm- Oak Doga (Brun) – format: INVALID_FORMATcm40x120cm40x180cm430x120cm440x120cm45x90cm560x60cm60x120cm60x60cm80x80cm860x60cm90x90cm",INVALID
